Date,Product,Region,Quantity_Sold,Stock_Level
2023-01-01,Product_A,North,99,99
2023-01-02,Product_A,North,79,151
2023-01-03,Product_A,North,106,166
2023-01-04,Product_A,North,100,189
2023-01-05,Product_A,North,119,161
2023-01-06,Product_A,North,110,150
2023-01-07,Product_A,North,75,137
2023-01-08,Product_A,North,76,152
2023-01-09,Product_A,North,101,149
2023-01-10,Product_A,North,102,196
2023-01-11,Product_A,North,115,168
2023-01-12,Product_A,North,104,176
2023-01-13,Product_A,North,102,154
2023-01-14,Product_A,North,94,176
2023-01-15,Product_A,North,86,128
2023-01-16,Product_A,North,92,170
2023-01-17,Product_A,North,138,174
2023-01-18,Product_A,North,106,165
2023-01-19,Product_A,North,124,184
2023-01-20,Product_A,North,108,136
2023-01-21,Product_A,North,94,139
2023-01-22,Product_A,North,98,160
2023-01-23,Product_A,North,111,175
2023-01-24,Product_A,North,122,187
2023-01-25,Product_A,North,136,158
2023-01-26,Product_A,North,110,165
2023-01-27,Product_A,North,92,148
2023-01-28,Product_A,North,115,123
2023-01-29,Product_A,North,111,112
2023-01-30,Product_A,North,105,169
2023-01-31,Product_A,North,135,200
2023-02-01,Product_A,North,143,184
2023-02-02,Product_A,North,111,196
2023-02-03,Product_A,North,102,132
2023-02-04,Product_A,North,79,125
2023-02-05,Product_A,North,107,152
2023-02-06,Product_A,North,125,161
2023-02-07,Product_A,North,130,203
2023-02-08,Product_A,North,124,205
2023-02-09,Product_A,North,109,175
2023-02-10,Product_A,North,101,137
2023-02-11,Product_A,North,105,138
2023-02-12,Product_A,North,102,162
2023-02-13,Product_A,North,123,187
2023-02-14,Product_A,North,127,186
2023-02-15,Product_A,North,131,166
2023-02-16,Product_A,North,97,160
2023-02-17,Product_A,North,93,172
2023-02-18,Product_A,North,86,142
2023-02-19,Product_A,North,124,148
2023-02-20,Product_A,North,131,158
2023-02-21,Product_A,North,128,179
2023-02-22,Product_A,North,128,220
2023-02-23,Product_A,North,93,198
2023-02-24,Product_A,North,115,155
2023-02-25,Product_A,North,79,154
2023-02-26,Product_A,North,97,163
