Date,Product,Region,Quantity_Sold,Stock_Level,day_of_week,week_of_year,month,year,is_weekend,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_7,lag_30,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30
2023-01-01,Product_A,East,97,145,6,52,1,2023,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,,,,,,,
2023-01-02,Product_A,East,101,119,0,1,1,2023,0,0.0,1.0,0.49999999999999994,0.8660254037844387,97.0,,,,,,
2023-01-03,Product_A,East,104,149,1,1,1,2023,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,101.0,,,100.66666666666667,3.5118845842842448,100.66666666666667,3.5118845842842448
2023-01-04,Product_A,East,127,193,2,1,1,2023,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,104.0,,,107.25,13.475286020464772,107.25,13.475286020464772
2023-01-05,Product_A,East,122,143,3,1,1,2023,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,127.0,,,110.2,13.405222862750174,110.2,13.405222862750174
2023-01-06,Product_A,East,54,104,4,1,1,2023,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,122.0,,,100.83333333333333,25.887577458438763,100.83333333333333,25.887577458438763
2023-01-07,Product_A,East,103,120,5,1,1,2023,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,54.0,,,101.14285714285714,23.6462017487557,101.14285714285714,23.6462017487557
2023-01-08,Product_A,East,78,165,6,1,1,2023,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,103.0,97.0,,98.42857142857143,25.237915542936207,98.25,23.37122773228411
2023-01-09,Product_A,East,120,151,0,2,1,2023,0,0.0,1.0,0.49999999999999994,0.8660254037844387,78.0,101.0,,101.14285714285714,26.548248978219334,100.66666666666667,23.032585612562045
2023-01-10,Product_A,East,108,167,1,2,1,2023,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,120.0,104.0,,101.71428571428571,26.662797338328218,101.4,21.83880338602217
2023-01-11,Product_A,East,120,206,2,2,1,2023,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,108.0,127.0,,100.71428571428571,25.669140264230943,103.0909090909091,21.463711447252294
2023-01-12,Product_A,East,115,177,3,2,1,2023,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,120.0,122.0,,99.71428571428571,24.824143393843332,104.08333333333333,20.751597236810177
2023-01-13,Product_A,East,112,120,4,2,1,2023,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,115.0,54.0,,108.0,14.59451951932644,104.6923076923077,19.98909959363109
2023-01-14,Product_A,East,97,126,5,2,1,2023,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,112.0,103.0,,107.14285714285714,15.104398602488532,104.14285714285714,19.314630336999592
2023-01-15,Product_A,East,56,94,6,2,1,2023,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,97.0,78.0,,104.0,22.60530911091464,100.93333333333334,22.381327251166528
2023-01-16,Product_A,East,88,166,0,3,1,2023,0,0.0,1.0,0.49999999999999994,0.8660254037844387,56.0,120.0,,99.42857142857143,22.05944350202534,100.125,21.862829947958094
2023-01-17,Product_A,East,118,178,1,3,1,2023,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,88.0,108.0,,100.85714285714286,23.01034963828648,101.17647058823529,21.60797102378439
2023-01-18,Product_A,East,155,155,2,3,1,2023,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,118.0,120.0,,105.85714285714286,30.45996591937562,104.16666666666667,24.502700931553985
2023-01-19,Product_A,East,111,174,3,3,1,2023,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,155.0,115.0,,105.28571428571429,30.296943111554377,104.52631578947368,23.863892811462236
2023-01-20,Product_A,East,87,148,4,3,1,2023,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,111.0,112.0,,101.71428571428571,30.842148032166886,103.65,23.55570106431942
2023-01-21,Product_A,East,68,163,5,3,1,2023,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,87.0,97.0,,97.57142857142857,33.42083752619586,101.95238095238095,24.241444244261086
2023-01-22,Product_A,East,84,181,6,3,1,2023,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,68.0,56.0,,101.57142857142857,28.999178970315374,101.13636363636364,23.964846187986534
2023-01-23,Product_A,East,106,180,0,4,1,2023,0,0.0,1.0,0.49999999999999994,0.8660254037844387,84.0,88.0,,104.14285714285714,28.38678431611309,101.34782608695652,23.4358092275517
2023-01-24,Product_A,East,118,178,1,4,1,2023,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,106.0,118.0,,104.14285714285714,28.38678431611309,102.04166666666667,23.171345059880704
2023-01-25,Product_A,East,112,187,2,4,1,2023,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,118.0,155.0,,98.0,18.4661853126194,102.44,22.77074146062588
2023-01-26,Product_A,East,120,156,3,4,1,2023,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,112.0,111.0,,99.28571428571429,19.788163850429104,103.11538461538461,22.574900970904697
2023-01-27,Product_A,East,99,139,4,4,1,2023,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,120.0,87.0,,101.0,19.052558883257664,102.96296296296296,22.150675422036716
2023-01-28,Product_A,East,124,137,5,4,1,2023,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,99.0,68.0,,109.0,13.964240043768953,103.71428571428571,22.09718792710317
2023-01-29,Product_A,East,118,140,6,4,1,2023,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,124.0,84.0,,113.85714285714286,8.76410427879107,104.20689655172414,21.860563498071176
2023-01-30,Product_A,East,113,137,0,5,1,2023,0,0.0,1.0,0.49999999999999994,0.8660254037844387,118.0,106.0,,114.85714285714286,8.091735937126876,104.5,21.54025901935001
2023-01-31,Product_A,East,114,188,1,5,1,2023,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,113.0,118.0,97.0,114.28571428571429,7.973169292786193,105.06666666666666,21.559753906428224
2023-02-01,Product_A,East,156,193,2,5,2,2023,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,114.0,112.0,101.0,120.57142857142857,17.510541043013134,106.9,23.457003953675727
2023-02-02,Product_A,East,142,189,3,5,2,2023,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,156.0,120.0,104.0,123.71428571428571,19.276188123470583,108.16666666666667,24.305644772687927
2023-02-03,Product_A,East,129,154,4,5,2,2023,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,142.0,99.0,127.0,128.0,15.905973720586852,108.23333333333333,24.361761067272017
2023-02-04,Product_A,East,129,132,5,5,2,2023,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,129.0,124.0,122.0,128.71428571428572,15.808376320949643,108.46666666666667,24.531096849584166
2023-02-05,Product_A,East,87,123,6,5,2,2023,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,129.0,118.0,54.0,124.28571428571429,22.31377964184377,109.56666666666666,22.674128251247566
